n	h	f	time	MAX_GENERATIONS	CONSTANT_MEMBERS	POPULATION_SIZE	CROSSOVER_CHANCE	MUTATION_CHANCE	SWAP_ELEMENT_CHANCE	CHANGE_R_CHANCE
10	0.2	3205	0.02534267999999429	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1934	0.02547471499929088	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	1919	0.025310804999207903	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	1549	0.02540555400082667	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	2671	0.025388594000105513	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1604	0.025413370999558538	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	1131	0.02553999199972168	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	660	0.02539195200006361	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	2570	0.025374460999955772	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1626	0.027521778000846098	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	924	0.025247018999834836	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	1471	0.025378915000146662	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	2217	0.025342148000163434	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1193	0.02525514699937048	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	844	0.025343328999952064	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	842	0.02535046000048169	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	1967	0.025278996000452025	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1075	0.025321152999822516	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	1038	0.025194607000230462	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	1047	0.025303624000116542	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	1176	0.02527701600047294	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	651	0.025312354000561754	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	870	0.025337478999972518	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	920	0.02527400899998611	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	1750	0.0254927289997795	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	955	0.025463914000283694	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	843	0.02541677399949549	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	826	0.02547505300026387	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	2282	0.025407743999494414	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1232	0.02538416999959736	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	839	0.025469626999438333	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	864	0.02539735399932397	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	1396	0.025393418000021484	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	726	0.025357427000017196	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	611	0.025400473999980022	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	630	0.025430704000427795	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	1551	0.025316698999631626	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1060	0.02542113799972867	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	835	0.025298208000094746	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	1052	0.025338692999866907	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	3271	0.02558082299947273	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1747	0.02543069400053355	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	1686	0.025395282999852498	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	1358	0.025378758999977435	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	2707	0.025355790000503475	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1400	0.025392279999323364	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	897	0.025396930999704637	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	564	0.02541575999930501	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	2770	0.025429838000491145	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1257	0.02544594499977393	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	1437	0.025555974000781134	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	806	0.025482564000412822	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	2163	0.025551469000674842	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1184	0.025386817999788036	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	822	0.025523332999910053	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	842	0.025838442999884137	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	1967	0.02592819799974677	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1083	0.025302682000074128	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	1022	0.025467176000347536	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	987	0.026039676000436884	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	1107	0.025580595000064932	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	651	0.02599627600011445	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	797	0.025749706999704358	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	793	0.0258014839992029	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	1611	0.025910962000125437	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	945	0.025976382000408194	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	821	0.025791537000259268	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	825	0.02572946799955389	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	2279	0.025728911000442167	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1280	0.02579834900006972	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	1123	0.02572515999963798	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	1123	0.02603810400069051	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	1405	0.02539452600012737	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	783	0.025601461000405834	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	626	0.02646236599957774	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	608	0.026227817000290088	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	1553	0.025614748999942094	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1052	0.02601760200013814	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	998	0.026013042000158748	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	899	0.025986820999605698	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	3223	0.025693855000099575	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1955	0.025375225999596296	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	1435	0.025483162999989872	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	1402	0.02551485500043782	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	2557	0.025426156999856175	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1545	0.025742296999851533	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	1212	0.025902229999701376	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	702	0.025871638000353414	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	2890	0.02548353699967265	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1574	0.025805761999436072	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	1179	0.025451556000007258	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	911	0.025786062000406673	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	2285	0.02694910400077788	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1253	0.027026840999496926	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	815	0.025719371999912255	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	701	0.02654445699954522	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	1942	0.026199393999377207	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1041	0.026128188999791746	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	1001	0.026049320000311127	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	989	0.026121146000150475	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	1065	0.02582574400003068	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	663	0.025972712000111642	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	886	0.025848669999504637	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	923	0.02594004499951552	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	1956	0.025910364000083064	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1020	0.025770676999854913	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	839	0.02594921699983388	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	869	0.025676473999737937	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	2279	0.026210632000584155	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1244	0.026000853000368807	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	896	0.025702259999889066	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	836	0.025663002999863238	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	1396	0.02546241599975474	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	660	0.02552210100020602	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	569	0.025410784000087006	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	535	0.025294833000771177	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	1543	0.02537405199927889	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1065	0.02524547899975005	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	938	0.02523787599966454	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	868	0.025200394999956188	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	2927	0.02537689400014642	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	2179	0.025398155000402767	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	1747	0.025183286999890697	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	1574	0.025380351999956474	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	2630	0.0255201970003327	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1294	0.025281515999267867	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	1193	0.025339435000205413	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	563	0.025645843000347668	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	2570	0.025899340999785636	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1516	0.0257312190005905	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	840	0.0255362050002077	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	1353	0.026310219999686524	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	2375	0.026183080000009795	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1184	0.025474480999946536	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	844	0.0256788319993575	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	813	0.0260946469998089	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	1980	0.02611719699962123	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	1159	0.0260857829998713	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	971	0.028164339999420918	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	965	0.02605176599990955	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	1065	0.02567750199978036	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	639	0.025611731999561016	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	693	0.025320433000160847	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	904	0.025596067999686056	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	1701	0.025577765999514668	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	969	0.02554250299999694	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	821	0.02543646100002661	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	821	0.02552066400039621	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	2279	0.025493890000689134	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	1232	0.02549628999986453	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	1134	0.025502616000267153	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	829	0.02553857499970036	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	1376	0.025451029999203456	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	720	0.025317223999991256	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	608	0.025449116000345384	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	586	0.02533076700001402	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	1540	0.025325779999548104	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	995	0.025321064999843657	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	832	0.025447492999774113	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	881	0.026847205000194663	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	3272	0.027157028999681643	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	1964	0.025994647000516125	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	1685	0.026254771999447257	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	1561	0.026066789999276807	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	2695	0.02617617399937444	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	1508	0.026089089000379317	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	1092	0.02617145200019877	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	1201	0.026116148999790312	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	2720	0.026366758999756712	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	1598	0.026724618000116607	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	1185	0.026648854999621108	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	702	0.026333056999646942	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	2427	0.02623460600079852	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	1200	0.02633914099988033	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	841	0.026332006999837176	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	842	0.026275621999957366	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	1967	0.026318464000723907	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	1111	0.026320046999899205	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	1047	0.026237367000248923	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	1006	0.026132973000130733	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	1106	0.0262334760000158	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	669	0.025650563000453985	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	830	0.025653928999417985	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	892	0.02594166699964262	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	1858	0.025766419999854406	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	917	0.026301441000214254	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	826	0.026023188999715785	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	845	0.026397884000289196	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	2306	0.025996000000304775	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	1288	0.026025744999969902	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	916	0.02569741399929626	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	848	0.025679225999738264	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	1434	0.025566822999280703	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	652	0.025693184999909136	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	556	0.025624337999943236	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	535	0.025442156000281102	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	1538	0.02549783100039349	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	1060	0.025502640000013344	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	904	0.02545290299985936	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	999	0.025425130000257923	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	3171	0.025485799000307452	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	1781	0.025668707000477298	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	1690	0.025481084000603005	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	1671	0.02536861000044155	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	2550	0.02546328500011441	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	1530	0.02545553799973277	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	1206	0.02543466899987834	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	1132	0.025482351999926323	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	2492	0.02540672499981156	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	1728	0.025451886999690032	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	1042	0.0253966849995777	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	989	0.025497696999991604	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	2387	0.025437408000470896	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	1190	0.025388529000338167	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	842	0.02541865900002449	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	844	0.02549033099967346	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	1978	0.0254371840001113	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	1041	0.0254038090006361	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	1037	0.025362942999890947	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	989	0.02530589699927077	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	1294	0.025453204000768892	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	670	0.025355712000418862	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	656	0.025477668000348785	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	956	0.025626826000006986	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	1813	0.025588745000277413	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	950	0.025666716999694472	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	872	0.02555976199982979	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	830	0.025535221000609454	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	2359	0.025560652000422124	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	1232	0.025583532999917225	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	836	0.025516278000395687	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	941	0.0254520139997112	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	1214	0.025435579999793845	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	720	0.025467178999861062	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	562	0.02538357600042218	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	636	0.0253766279993215	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	1581	0.025280654999733088	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	1047	0.025359664000461635	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	823	0.02549282400013908	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	1015	0.025346090999846638	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	2963	0.02529229499941721	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	1709	0.025286299000072177	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	2017	0.025472876000094402	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	1546	0.025420818999918993	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	2211	0.02530218099946069	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	1496	0.02531097100018087	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	1160	0.025286420999691472	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	692	0.02543767699989985	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	2708	0.02540326100006496	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	1728	0.025340357999994012	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	1195	0.02540264399976877	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	942	0.025341444999867235	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	2539	0.025419106999834185	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	1142	0.025464338999881875	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	788	0.025346012999762024	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	795	0.025584254000023066	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	2168	0.025628001000768563	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	1165	0.025368032000187668	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	1001	0.025264650999815785	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	941	0.02531510900007561	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	1077	0.02535778899982688	5	0.3	20	0.3	0.3	0.1	0.3
10	0.4	726	0.0254190670002572	5	0.3	20	0.3	0.3	0.1	0.3
10	0.6	916	0.025358030999996117	5	0.3	20	0.3	0.3	0.1	0.3
10	0.8	732	0.025370129000293673	5	0.3	20	0.3	0.3	0.1	0.3
10	0.2	2054	0.02565305400003126	5	0.3	20	0.3	0.3	0.1	0.3
